Name,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,Connectors,InstSpec,LLInst,MsgSent,MsgRecv,MsgSelf,Diags
SDMetrics.com.sdmetrics.OpenCore,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.app.ConsoleMessageHandler,3,8,7,1,1,0,0,1,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.app.MessageHandler,0,5,5,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.app.MetricData.MetricDataTable,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.app.MetricData,1,13,13,0,11,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.app.ModelData.TableInfo,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.app.ModelData,0,14,13,0,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.app.Problem,2,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.app.RelationMatrices,0,12,12,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.app.RuleData,2,18,14,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MetricsEngine.MetricValuesCache,0,4,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MetricsEngine,0,14,6,0,5,0,0,0,0,0,0,0,0,0,0,0,10,11,3,0,0,12,31,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.SDMetricsException,1,5,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,8,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.Metric,2,6,5,1,3,0,0,0,0,1,1,0,13,4,0,0,0,0,2,0,0,21,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MatrixEngine,0,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1,7,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MatrixData,0,8,7,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,5,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.RuleEngine,2,6,5,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,6,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MetricStore.WordList,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MetricStore.MetricParser,15,18,3,1,3,1,0,0,0,1,1,0,3,1,0,0,1,2,1,0,0,0,11,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MetricStore,2,18,11,0,17,0,0,0,0,0,0,0,0,0,0,0,7,8,3,0,0,3,21,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.RuleFilter,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.RuleViolation,1,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,4,4,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.AbstractProcedure,1,13,0,2,6,0,0,3,22,0,0,2,0,0,0,0,1,1,0,0,0,0,23,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.ProcedureAttributes,0,6,5,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,8,3,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.Variables,2,5,4,1,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,23,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.FilterAttributeProcessor.FilteringIterator,3,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.FilterAttributeProcessor,22,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,16,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.ChangeDirectionsAdapter.T,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.ChangeDirectionsAdapter,2,3,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.StronglyConnectedComponents.T,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.StronglyConnectedComponents.Graph.T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.StronglyConnectedComponents.NodeInfo,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.StronglyConnectedComponents,5,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.Description,3,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.ElementGraph,0,3,3,0,2,0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,6,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.Glossary,0,2,1,0,0,0,0,0,0,1,1,0,13,4,0,0,1,1,0,0,0,2,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MetricEntry,4,13,7,4,7,0,0,6,6,0,0,1,0,0,0,0,3,4,0,0,0,6,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.Matrix,0,8,6,2,4,0,0,0,0,1,1,0,13,4,0,0,2,2,2,0,0,5,8,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.Set,1,5,4,1,2,0,0,0,0,1,1,0,13,4,0,0,1,1,1,0,0,14,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MetricProcedure,0,1,0,0,0,0,0,12,12,1,1,1,13,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MetricProcedureAttributeValue,0,1,0,0,0,0,0,0,0,2,2,0,14,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MetricProcedureCompare,0,1,0,0,0,0,0,0,0,2,2,0,14,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MetricProcedureCompound,0,1,1,0,0,0,0,0,0,2,2,0,14,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MetricProcedureConnectedComponents,0,3,2,0,1,0,0,0,0,2,2,0,14,1,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MetricProcedureCount,0,1,1,0,0,0,0,0,0,2,2,0,14,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MetricProcedureFilterValue,0,1,1,0,0,0,0,0,0,2,2,0,14,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MetricProcedureNesting,0,1,1,0,0,0,0,0,0,2,2,0,14,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MetricProcedureProjection,0,1,1,0,0,0,0,0,0,2,2,0,14,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MetricProcedureSetOperation,0,1,1,0,0,0,0,0,0,2,2,0,14,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MetricProcedureSignature,0,1,1,0,0,0,0,0,0,2,2,0,14,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MetricProcedureSubelements,0,2,1,0,0,0,0,0,0,2,2,0,14,1,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.SummationHelper,4,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,4,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MetricProcedureValuesetOperation,0,1,1,0,0,0,0,0,0,2,2,0,14,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MetricProcedureCache,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.SetProcedureCache,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.RuleProcedureCache,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.Reference,0,2,1,0,0,0,0,0,0,1,1,0,13,4,0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.Rule,4,7,7,0,5,0,0,0,0,1,1,0,13,4,0,0,1,1,1,0,0,13,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.ProcedureCache.T,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.ProcedureCache.ProcedureInfo,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.ProcedureCache,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.MetricTools,2,7,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.SetProcedure,0,1,0,0,0,0,0,4,4,1,1,1,13,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.RuleProcedure,0,9,1,1,5,0,0,3,3,1,1,1,13,1,0,0,2,2,0,0,0,0,13,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.RuleProcedureCycle,1,2,1,0,1,0,0,0,0,2,2,0,22,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.RuleProcedureSet,0,1,1,0,0,0,0,0,0,2,2,0,22,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.RuleProcedureViolation,0,1,1,0,0,0,0,0,0,2,2,0,22,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.SetProcedureCompare,0,2,1,1,0,0,0,0,0,2,2,0,14,1,0,0,0,0,1,0,0,0,4,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.SetProcedureCompound,0,1,1,0,0,0,0,0,0,2,2,0,14,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.SetProcedureProjection,2,1,1,0,0,0,0,0,0,2,2,0,14,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.SetProcedureSubelements,0,2,1,0,0,0,0,0,0,2,2,0,14,1,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.metrics.SetSummationHelper,2,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,5,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.model.MetaModelElement.MetaModelElementAttribute,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.model.MetaModelElement,4,12,6,0,9,0,0,0,0,0,0,0,0,0,0,0,4,6,9,0,0,33,1,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.model.ModelElement.ElementOrderComparator,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.model.ModelElement,6,20,14,5,12,0,0,0,0,0,0,0,0,0,0,0,2,4,8,0,0,95,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.model.Model,0,7,6,1,3,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,5,8,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.model.MetaModel.MetaModelParser,7,6,4,0,0,1,0,0,0,1,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.model.MetaModel,2,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,7,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.model.ElementFilters,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.model.XMIContextStack.Context,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.model.XMIContextStack,1,11,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,7,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.model.XMITransformation,4,11,0,1,7,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,8,6,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.model.XMITrigger,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,5,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.model.XMIReader.DeferredRelation,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.model.XMIReader,5,21,8,3,1,0,0,0,0,1,1,0,3,1,0,0,4,6,0,0,0,0,10,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.model.XMITransformations.XMITranformationsParser,3,8,3,0,1,1,0,0,0,1,1,0,3,1,0,0,0,1,1,0,0,0,4,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.model.XMITransformations,2,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,4,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.cmdline.CommandLineParser,1,6,5,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.cmdline.CommandLineProcessorOC.CmdLineMessageHandler,0,1,1,0,0,1,0,0,0,2,2,0,13,3,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.cmdline.CommandLineProcessorOC,13,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.output.ExportFormatter,1,19,4,2,2,0,0,4,6,0,0,2,0,0,0,0,2,2,1,0,0,3,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.output.DataExportConfiguration,4,13,7,6,6,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,2,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.output.CSVExporter,3,9,2,0,2,0,0,1,1,1,1,1,19,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.output.OverwriteConfirmation,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.output.DataExporter,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,6,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.output.ExportFormatterFactory,1,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.output.HTMLExporter,1,13,3,0,2,0,0,0,0,1,1,0,19,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.output.ODSExporter,0,7,2,0,2,0,0,0,0,2,2,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.output.SXCExporter,0,14,2,0,3,0,0,1,1,1,1,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.output.TextExporter,0,3,2,0,2,0,0,0,0,2,2,0,28,4,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.output.XMLSSExporter,0,10,2,0,2,0,0,0,0,1,1,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.math.ExpressionNode,24,13,8,1,9,0,0,0,0,0,0,0,0,0,0,0,2,2,10,0,0,42,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.math.ExpressionParser.ParserException,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.math.ExpressionParser,3,22,3,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,15,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.math.HashMultiSet.E,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.math.HashMultiSet.HashMultiSetIterator,5,5,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.math.HashMultiSet,3,17,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.math.IntegerMatrix,3,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.math.MappedCollectionsIterator.T,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.math.MappedCollectionsIterator,4,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.util.SAXHandler,1,3,1,1,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.util.VersionInfo,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
SDMetrics.com.sdmetrics.util.XMLParser,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
