File,Total Time (minutes),Coding,Debugging,Testing,FC Flow Complexity,OV Object Vocabulary,OC Object Conjuration,AI Arithmetic Intricacy,DT Data Transfer,CM Comments,CS Code Structure,ID Inline Data,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\CloudAction.java,1383,581,450,351,334,651,199,0,98,7,91,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\CloudColorAction.java,1651,679,543,428,505,691,228,0,120,7,96,1,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\ColorArrowLinkAction.java,1007,451,308,247,116,572,167,0,77,7,65,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\CompoundActionHandler.java,584,258,180,144,103,306,75,6,44,9,38,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\CopyAction.java,385,167,121,95,99,187,44,0,18,7,27,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\CopySingleAction.java,366,158,116,91,99,177,40,0,15,7,26,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\CutAction.java,1841,816,572,452,319,1046,229,0,129,11,102,2,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\DeleteChildAction.java,1670,745,512,412,276,918,222,18,122,10,98,3,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\EdgeColorAction.java,1233,540,382,311,235,632,178,0,102,8,76,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\EdgeStyleAction.java,1048,462,323,262,164,563,171,0,76,7,65,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\EdgeWidthAction.java,1177,506,375,295,228,592,190,0,81,7,76,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\EditAction.java,3586,1467,1169,949,1039,1343,672,0,261,14,250,5,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\ExportBranchAction.java,1988,830,648,508,582,868,248,12,134,14,124,2,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\FontFamilyAction.java,1017,461,306,249,95,592,172,0,81,8,67,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\FontSizeAction.java,1009,448,309,250,136,553,166,0,73,8,71,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\FreemindAction.java,450,205,136,108,56,256,79,0,19,9,29,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\HookAction.java,90,48,23,18,0,69,5,0,1,6,8,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\IconAction.java,3043,1236,1005,802,862,1036,611,74,238,7,211,2,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\ImportExplorerFavoritesAction.java,1665,672,552,440,526,651,207,12,153,9,101,3,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\ImportFolderStructureAction.java,1591,655,522,413,426,681,215,12,149,9,94,2,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\ItalicAction.java,795,358,243,194,81,454,143,0,52,7,56,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\JoinNodesAction.java,1540,624,509,407,471,563,220,49,139,7,83,7,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\MindMapActions.java,2107,1009,598,500,0,1471,467,0,88,38,39,1,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\MindMapControllerHookAction.java,338,164,96,77,6,237,47,0,14,7,25,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\ModeControllerActionHandler.java,271,135,74,61,0,187,38,0,9,10,25,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\MoveNodeAction.java,1171,497,376,297,256,553,207,0,80,7,65,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\NewChildAction.java,2281,982,722,577,462,1086,395,18,160,11,142,4,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\NewPreviousSiblingAction.java,217,108,60,49,0,148,33,0,8,7,19,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\NewSiblingAction.java,217,108,60,49,0,148,33,0,8,7,19,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\NodeActorXml.java,143,75,38,29,0,118,6,0,1,9,8,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\NodeBackgroundColorAction.java,1286,573,391,321,185,701,207,0,93,7,90,1,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\NodeColorAction.java,1133,502,347,283,185,612,169,0,85,7,73,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\NodeColorBlendAction.java,206,103,56,46,0,148,24,0,6,7,19,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\NodeGeneralAction.java,1780,736,580,464,518,711,301,0,114,12,121,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\NodeHookAction.java,3903,1587,1269,1047,1212,1313,764,0,330,22,260,1,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\NodeStyleAction.java,1193,509,379,303,253,572,202,0,81,7,75,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\NodeUpAction.java,3260,1359,1043,857,896,1283,558,48,266,10,190,5,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\PasteAction.java,9701,3804,3267,2630,3408,2616,1924,152,849,38,679,32,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\RedoAction.java,263,129,73,59,0,177,43,0,12,7,21,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\RemoveAllIconsAction.java,1201,536,368,297,188,691,150,0,83,7,79,1,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\RemoveArrowLinkAction.java,1350,591,422,336,213,701,217,6,105,8,97,1,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\RemoveIconAction.java,1242,559,384,299,141,740,177,6,82,7,85,1,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\RevertAction.java,1879,807,593,478,389,859,330,6,148,14,130,1,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\SelectAllAction.java,230,114,63,52,0,168,25,0,9,6,21,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\SelectBranchAction.java,205,102,56,46,0,148,22,0,11,6,17,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\SetLinkByTextFieldAction.java,930,411,286,232,138,493,155,0,69,7,64,1,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\SingleNodeOperation.java,124,65,33,26,0,98,8,0,1,8,8,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\ToggleChildrenFoldedAction.java,330,163,92,74,0,237,43,0,18,7,24,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\ToggleFoldedAction.java,1955,807,636,510,572,809,298,6,143,8,114,2,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\UnderlinedAction.java,793,357,242,193,81,454,142,0,50,7,56,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\UndoAction.java,2547,1060,823,663,670,997,453,24,205,11,177,8,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\UsePlainTextAction.java,323,155,92,75,34,207,30,0,13,12,25,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\UseRichFormattingAction.java,323,155,92,75,34,207,30,0,13,12,25,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\xml\AbstractActorXml.java,434,201,132,100,31,286,49,0,21,6,38,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\xml\AbstractXmlAction.java,548,247,168,133,68,306,89,0,33,8,42,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\xml\ActionFactory.java,2111,870,683,557,648,819,317,6,149,13,156,1,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\xml\ActionFilter.java,136,72,35,28,0,98,12,0,1,10,12,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\xml\ActionHandler.java,161,82,44,34,0,128,12,0,4,7,9,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\xml\ActionPair.java,229,105,69,54,18,118,47,0,11,7,25,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\xml\ActorXml.java,135,70,36,28,0,108,8,0,2,7,9,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\xml\NodeHookUndoableContentActor.java,1387,597,435,354,274,661,252,0,103,7,88,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\xml\PrintActionHandler.java,438,205,130,103,49,276,53,0,19,10,30,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\xml\UndoActionHandler.java,461,208,139,113,69,256,69,0,21,7,37,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\attributeactors\AssignAttributeDialog.java,6667,2730,2159,1777,1703,2172,1567,79,608,6,508,21,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\attributeactors\AttributeManagerDialog.java,2452,1117,724,610,112,1323,561,0,222,14,210,7,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\attributeactors\AttributeRegistryTable.java,2509,1031,826,651,709,997,436,18,158,10,168,10,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\attributeactors\AttributesListener.java,113,59,30,23,0,88,8,0,1,6,8,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\attributeactors\ImportAttributesDialog.java,4924,1999,1627,1297,1458,1757,928,36,394,6,332,9,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\attributeactors\InsertAttributeActor.java,730,334,218,177,53,434,136,0,50,6,48,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\attributeactors\ListDialog.java,3985,1666,1291,1027,963,1639,716,67,317,17,248,16,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\attributeactors\MindMapModeAttributeController.java,5800,2323,1901,1575,1718,1520,1493,67,538,11,430,19,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\attributeactors\RegistryAttributeActor.java,597,274,179,144,53,365,88,0,40,6,42,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\attributeactors\RegistryAttributeValueActor.java,568,259,170,137,53,335,92,0,37,6,42,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\attributeactors\RemoveAttributeActor.java,676,309,202,164,53,404,113,0,49,6,47,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\attributeactors\ReplaceAttributeValueActor.java,561,254,169,137,53,316,108,0,33,6,42,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\attributeactors\SetAttributeColumnWidthActor.java,618,281,185,151,53,355,116,0,40,6,45,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\attributeactors\SetAttributeFontSizeActor.java,476,215,144,116,53,266,78,0,30,6,39,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\attributeactors\SetAttributeNameActor.java,627,285,188,154,53,355,123,0,42,6,45,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\attributeactors\SetAttributeRestrictedActor.java,737,313,237,186,166,345,113,0,45,6,59,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\attributeactors\SetAttributeValueActor.java,628,285,188,154,53,355,123,0,42,6,46,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\attributeactors\SetAttributeVisibleActor.java,567,258,170,138,53,325,99,0,38,6,43,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\attributeactors\UnregistryAttributeActor.java,854,383,260,210,122,473,126,6,62,6,56,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\attributeactors\UnregistryAttributeValueActor.java,545,248,164,132,53,316,91,0,35,6,42,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\dialogs\StylePatternFrame.java,7133,3020,2250,1863,1104,2656,1974,189,740,13,422,32,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\EncryptedMindMapNode.java,4146,1615,1423,1108,1526,1283,653,42,295,21,315,8,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\hooks\MindMapHookAdapter.java,139,68,39,30,6,88,14,0,7,6,15,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\hooks\MindMapHookFactory.java,4222,1737,1376,1109,1224,1589,753,18,323,23,285,4,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\hooks\MindMapNodeHookAdapter.java,139,68,39,30,6,88,14,0,7,6,15,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\hooks\PermanentMindMapNodeHookAdapter.java,370,176,107,87,12,237,57,0,24,9,30,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\JAutoScrollBarPane.java,790,322,262,205,286,316,70,18,45,8,45,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\listeners\MindMapMouseMotionManager.java,1189,502,385,302,290,464,194,61,93,8,75,1,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\listeners\MindMapNodeDropListener.java,3234,1312,1075,847,1132,1214,410,6,229,29,207,3,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\listeners\MindMapNodeMotionListener.java,3002,1240,985,777,759,1135,557,79,256,9,201,4,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\MindMapArrowLinkModel.java,1568,612,545,411,650,503,183,61,79,8,75,6,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\MindMapCloudModel.java,124,63,33,27,0,88,14,0,2,6,11,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\MindMapController.java,28462,11390,9415,7656,8492,8946,6019,366,2610,61,1902,62,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\MindMapEdgeModel.java,123,63,33,27,0,88,14,0,2,6,11,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\MindMapHTMLWriter.java,6339,2505,2157,1676,2322,1096,1077,957,403,15,365,102,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\MindMapMapModel.java,9134,3590,3092,2452,3115,2616,1782,134,723,35,696,30,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\MindMapMode.java,709,312,222,174,116,385,100,0,40,7,57,1,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\MindMapNodeModel.java,2799,1099,951,747,1079,760,395,146,189,15,197,15,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\MindMapPopupMenu.java,384,176,115,92,49,217,57,6,20,6,26,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\MindMapToolBar.java,1466,629,466,370,304,671,250,6,108,13,108,3,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\MindMapXMLElement.java,1255,547,398,309,184,711,175,0,92,9,81,0,
C:\Users\sainath\Desktop\freemind\modes\MindMapNode.java,2093,1014,593,485,0,1619,254,0,139,37,42,1,
C:\Users\sainath\Desktop\freemind\modes\Mode.java,306,148,87,70,6,217,46,0,14,7,14,0,
C:\Users\sainath\Desktop\freemind\modes\ModeController.java,1798,873,506,418,0,1362,260,0,99,34,41,0,
C:\Users\sainath\Desktop\freemind\modes\ModesCreator.java,1055,445,339,270,285,464,148,6,72,9,66,2,
C:\Users\sainath\Desktop\freemind\modes\NodeAdapter.java,16752,6286,5884,4581,7310,3989,2807,152,1190,61,1208,32,
C:\Users\sainath\Desktop\freemind\modes\NodeDownAction.java,204,101,56,46,0,138,30,0,10,7,17,0,
C:\Users\sainath\Desktop\freemind\modes\NodeViewEvent.java,89,46,23,19,0,49,17,0,3,7,11,0,
C:\Users\sainath\Desktop\freemind\modes\NodeViewEventListener.java,112,58,29,24,0,78,16,0,2,7,7,0,
C:\Users\sainath\Desktop\freemind\modes\schememode\SchemeController.java,1446,641,452,352,243,790,174,36,97,18,83,3,
C:\Users\sainath\Desktop\freemind\modes\schememode\SchemeEdgeModel.java,123,63,33,27,0,88,14,0,2,6,11,0,
C:\Users\sainath\Desktop\freemind\modes\schememode\SchemeMapModel.java,1724,710,570,444,528,740,210,0,114,14,111,4,
C:\Users\sainath\Desktop\freemind\modes\schememode\SchemeMode.java,549,244,171,134,72,296,89,0,30,7,53,0,
C:\Users\sainath\Desktop\freemind\modes\schememode\SchemeNodeModel.java,1407,531,488,387,678,306,152,54,102,8,101,4,
C:\Users\sainath\Desktop\freemind\modes\schememode\SchemePopupMenu.java,134,68,36,29,0,88,22,0,3,6,13,0,
C:\Users\sainath\Desktop\freemind\modes\schememode\SchemeToolBar.java,250,122,70,57,0,168,43,0,15,6,17,0,
C:\Users\sainath\Desktop\freemind\modes\StylePattern.java,4458,1748,1510,1199,1706,1234,758,61,300,44,338,16,
C:\Users\sainath\Desktop\freemind\modes\StylePatternFactory.java,4092,1633,1369,1090,1295,1283,809,48,381,10,252,10,
C:\Users\sainath\Desktop\freemind\modes\viewmodes\CommonToggleChildrenFoldedAction.java,375,185,104,85,0,276,41,0,23,7,25,0,
C:\Users\sainath\Desktop\freemind\modes\viewmodes\ViewControllerAdapter.java,1578,670,500,407,388,730,226,0,121,13,97,0,
C:\Users\sainath\Desktop\freemind\modes\XMLElementAdapter.java,10174,3748,3604,2821,4800,2143,1589,79,787,28,712,33,
C:\Users\sainath\Desktop\freemind\preferences\FreemindPropertyContributor.java,91,49,23,18,0,69,6,0,1,7,7,0,
C:\Users\sainath\Desktop\freemind\preferences\FreemindPropertyListener.java,104,55,27,21,0,78,9,0,1,8,7,0,
C:\Users\sainath\Desktop\freemind\preferences\layout\GrabKeyDialog.java,6012,2250,2145,1617,2664,1501,983,85,388,37,330,21,
C:\Users\sainath\Desktop\freemind\preferences\layout\KeyEventTranslator.java,5361,1914,2001,1446,2841,938,711,259,291,30,267,21,
C:\Users\sainath\Desktop\freemind\preferences\layout\KeyEventWorkaround.java,3498,1268,1299,930,1894,859,362,105,95,15,154,11,
C:\Users\sainath\Desktop\freemind\preferences\layout\OptionPanel.java,9088,3839,2817,2431,1233,2528,3207,55,1202,70,653,138,
C:\Users\sainath\Desktop\freemind\preferences\layout\VariableSizeCardLayout.java,775,335,247,193,203,345,76,54,36,9,46,1,
C:\Users\sainath\Desktop\freemind\view\MapModule.java,695,293,228,173,149,286,130,12,38,9,67,0,
C:\Users\sainath\Desktop\freemind\view\mindmapview\ArrowLinkView.java,4540,1726,1593,1220,1865,1175,699,195,346,19,226,13,
C:\Users\sainath\Desktop\freemind\view\mindmapview\attributeview\AttributePopupMenu.java,2948,1172,994,781,1022,997,430,48,200,11,230,6,
C:\Users\sainath\Desktop\freemind\view\mindmapview\attributeview\AttributeTable.java,8899,3461,3052,2385,3486,2686,1326,226,660,12,484,17,
C:\Users\sainath\Desktop\freemind\view\mindmapview\attributeview\AttributeTableCellRenderer.java,951,392,317,241,291,404,108,24,50,9,60,1,
C:\Users\sainath\Desktop\freemind\view\mindmapview\attributeview\AttributeTableModelDecoratorAdapter.java,708,329,211,168,31,444,116,0,41,8,66,0,
C:\Users\sainath\Desktop\freemind\view\mindmapview\attributeview\AttributeView.java,3410,1327,1174,909,1314,1135,446,0,256,10,245,1,
C:\Users\sainath\Desktop\freemind\view\mindmapview\attributeview\AttributeViewScrollPane.java,272,128,81,62,18,177,25,0,17,6,26,0,
C:\Users\sainath\Desktop\freemind\view\mindmapview\attributeview\ExtendedAttributeTableModelDecorator.java,1584,597,565,422,692,424,239,36,77,8,100,4,
C:\Users\sainath\Desktop\freemind\view\mindmapview\attributeview\ReducedAttributeTableModelDecorator.java,1432,574,484,373,493,533,196,12,83,11,98,3,
C:\Users\sainath\Desktop\freemind\view\mindmapview\BezierEdgeView.java,875,390,269,215,145,444,120,48,56,8,49,2,
C:\Users\sainath\Desktop\freemind\view\mindmapview\BubbleMainView.java,1516,658,485,373,264,691,206,103,125,11,101,11,
C:\Users\sainath\Desktop\freemind\view\mindmapview\CloudView.java,2574,1080,843,650,580,868,507,268,188,15,137,8,
C:\Users\sainath\Desktop\freemind\view\mindmapview\ConvexHull.java,2876,1090,1020,766,1228,553,467,274,218,10,108,15,
C:\Users\sainath\Desktop\freemind\view\mindmapview\EdgeView.java,1026,444,328,253,156,503,186,6,76,8,86,1,
C:\Users\sainath\Desktop\freemind\view\mindmapview\EditNodeBase.java,2976,1242,968,765,702,1313,509,0,183,11,253,3,
C:\Users\sainath\Desktop\freemind\view\mindmapview\EditNodeDialog.java,2988,1287,935,765,521,1362,552,12,272,15,245,7,
C:\Users\sainath\Desktop\freemind\view\mindmapview\EditNodeExternalApplication.java,1012,449,314,248,181,572,111,0,63,13,67,1,
C:\Users\sainath\Desktop\freemind\view\mindmapview\EditNodeTextField.java,3317,1403,1067,846,819,1471,485,97,224,17,195,6,
C:\Users\sainath\Desktop\freemind\view\mindmapview\EditNodeWYSIWYG.java,3147,1365,983,798,548,1441,526,85,280,12,242,10,
C:\Users\sainath\Desktop\freemind\view\mindmapview\ForkMainView.java,1574,648,525,401,442,543,207,140,123,8,101,7,
C:\Users\sainath\Desktop\freemind\view\mindmapview\LeftNodeViewLayout.java,1002,452,306,242,109,563,155,36,73,6,56,1,
C:\Users\sainath\Desktop\freemind\view\mindmapview\LinearEdgeView.java,819,347,263,208,166,335,145,30,67,7,63,1,
C:\Users\sainath\Desktop\freemind\view\mindmapview\MainView.java,4980,2011,1674,1294,1539,1698,739,280,368,16,314,24,
C:\Users\sainath\Desktop\freemind\view\mindmapview\MapView.java,20425,7808,7048,5568,8427,4799,3567,573,1583,70,1368,36,
C:\Users\sainath\Desktop\freemind\view\mindmapview\MindMapLayout.java,1355,581,432,341,275,582,239,61,91,10,91,3,
C:\Users\sainath\Desktop\freemind\view\mindmapview\MultipleImage.java,1413,585,463,365,444,533,201,42,100,15,73,3,
C:\Users\sainath\Desktop\freemind\view\mindmapview\NodeMotionListenerView.java,899,409,273,216,103,523,111,24,62,8,61,3,
C:\Users\sainath\Desktop\freemind\view\mindmapview\NodeView.java,20541,7576,7307,5658,9296,4127,3257,610,1798,61,1335,53,
C:\Users\sainath\Desktop\freemind\view\mindmapview\NodeViewFactory.java,2763,1092,944,726,961,967,404,36,170,7,211,2,
C:\Users\sainath\Desktop\freemind\view\mindmapview\NodeViewLayout.java,166,84,45,36,0,128,19,0,4,6,8,0,
C:\Users\sainath\Desktop\freemind\view\mindmapview\NodeViewLayoutAdapter.java,4084,1606,1393,1084,1424,888,751,402,336,11,256,13,
C:\Users\sainath\Desktop\freemind\view\mindmapview\NodeViewVisitor.java,83,44,21,17,0,59,8,0,1,7,7,0,
C:\Users\sainath\Desktop\freemind\view\mindmapview\PathBBox.java,2936,1123,1046,767,659,592,601,487,455,12,103,23,
C:\Users\sainath\Desktop\freemind\view\mindmapview\RightNodeViewLayout.java,1027,463,314,249,109,553,169,54,76,6,57,1,
C:\Users\sainath\Desktop\freemind\view\mindmapview\RootMainView.java,1697,738,544,415,300,760,212,164,125,10,109,14,
C:\Users\sainath\Desktop\freemind\view\mindmapview\SharpBezierEdgeView.java,1717,761,537,418,194,691,353,250,116,8,97,5,
C:\Users\sainath\Desktop\freemind\view\mindmapview\SharpLinearEdgeView.java,425,200,127,98,6,266,49,24,36,7,33,1,
C:\Users\sainath\Desktop\freemind\view\mindmapview\VerticalRootNodeViewLayout.java,1828,805,571,451,248,849,338,134,151,7,95,3,

Entire Project Time,=SUM(B2:B357),=SUM(C2:C357),=SUM(D2:D357),=SUM(E2:E357),=SUM(F2:F357),=SUM(G2:G357),=SUM(H2:H357),=SUM(I2:I357),=SUM(J2:J357),=SUM(K2:K357),=SUM(L2:L357),=SUM(M2:M357),
